"Artikel-Nr.";"Marke";"Bezeichnung";"EAN";"Status";"Sperrgut";"Palletenartikel";"Nicht für Endkunden";"Gewicht (Kg)";"Höhe (cm)";"Breite (cm)";"Tiefe (cm)";"Nachfolger";"Alternativen";"Einheit";"VE";"MwSt";"Endkundenpreis (€)";"Händlerpreis (€)";"Endkunden-Sonderpreis (€)";"Händler-Sonderpreis (€)";"Rabattstaffel 1 (Menge)";"Rabattstaffel 1 (%)";"Rabattstaffel 1(€)";"Rabattstaffel 2 (Menge)";"Rabattstaffel 2 (%)";"Rabattstaffel 2(€)";"Rabattstaffel 3 (Menge)";"Rabattstaffel 3 (%)";"Rabattstaffel 3(€)";"Rabattstaffel 4 (Menge)";"Rabattstaffel 4 (%)";"Rabattstaffel 4(€)";"Rabattstaffel 5 (Menge)";"Rabattstaffel 5 (%)";"Rabattstaffel 5(€)";"Rabattstaffel 6 (Menge)";"Rabattstaffel 6 (%)";"Rabattstaffel 6(€)";"Bestand";"Kommentar"
"109861";"Plagron";"Plagron Light-Mix, enthält Perlite, 25 L";"8718104121362";"Normal";"Nein";"Nein";"Nein";7,7;56;37;10;"";"";"St";1;19;"8,26";"4,72";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109922";"HY-PRO";"GT HY-PRO Hydro A & B, Flüssigdünger, 20 L";"8718719430965";"Normal";"Nein";"Nein";"Nein";0;37,5;24,5;29;"";"";"Set";1;19;"159,90";"68,06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"109939";"HY-PRO";"GT HY-PRO Terra, Flüssigdünger, 20 L";"8718719431269";"Normal";"Nein";"Nein";"Nein";21;375;245;290;"";"";"St";1;19;"148,30";"68,20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"110001";"CenturionPro";"CenturionPro HP1 - Single High Performance Bucker";"860003633700";"Normal";"Nein";"Ja";"Nein";45;56;46;61;"";"";"St";1;19;"16650,00";"5316,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110002";"CenturionPro";"CenturionPro GC1 - Single Gentle Cut Bucker";"860003633724";"Normal";"Nein";"Ja";"Nein";50;38;36;71;"";"";"St";1;19;"2374,00";"1579,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110003";"CenturionPro";"CenturionPro HP3 - Triple High Performance Bucker";"";"Normal";"Nein";"Ja";"Nein";227;130;216;82;"";"";"St";1;19;"32124,00";"13195,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110009";"CenturionPro";"CenturionPro Quantanium Wet / Dry Tumbler, für CenturionPro Tabletop";"";"Normal";"Nein";"Nein";"Nein";0,3;0;0;0;"";"";"St";1;19;"899,00";"636,48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110019";"CenturionPro";"CenturionPro Electropolished Wet / Dry Tumbler, für CenturionPro 3.0";"";"Normal";"Nein";"Nein";"Nein";0;0;0;0;"";"";"St";1;19;"1499,00";"1110,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110034";"Ventilution";"Ventilution Mixed In-Line, 145/187 m³/h, für 100 mm, inkl. Netzkabel + Schuko-Stecker";"";"Normal";"Nein";"Nein";"Nein";2,025;0;0;0;"";"";"Set";1;19;"86,50";"27,50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 - geringer Bestand";""
"110036";"CenturionPro";"CenturionPro Reel Bearings, Ersatzteil";"";"Normal";"Nein";"Nein";"Nein";1;0;0;0;"";"";"St";1;19;"50,00";"31,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110060";"SANlight";"GT SANlight Netzkabel für EVO und Q-Serie Gen 2, 2,1 m, gerade, (Schuko zu Wieland)";"9120069230567";"Normal";"Nein";"Nein";"Nein";0,25;33;8;4;"";"";"St";1;19;"19,99";"10,64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110061";"SANlight";"GT SANlight Wieland Verlängerungsleitung, 1 m, 3-polig, male to female";"4015573761087";"Normal";"Nein";"Nein";"Nein";0,14;22;22;4;"";"";"St";1;19;"13,75";"7,32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110062";"SANlight";"GT SANlight Wieland Verlängerungsleitung, 2 m, 3-polig, male to female";"4015573761100";"Normal";"Nein";"Nein";"Nein";0,24;22;22;4;"";"";"St";1;19;"15,89";"8,46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110063";"SANlight";"GT SANlight Wieland H-Verteilerblock, 3-polig, 3 x female-Anschluss, 1 x male-Anschluss";"4015573735248";"Normal";"Nein";"Nein";"Nein";0,051;8,4;3,5;3,5;"";"";"St";1;19;"13,90";"7,60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110064";"SANlight";"GT SANlight Wieland Verschlussstück für Verteilerblock";"4015573744547";"Normal";"Nein";"Nein";"Nein";0,004;3;3;2;"";"";"St";1;19;"1,99";"1,05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"110093";"LUMii";"LUMii Black magnetisches Vorschaltgerät 600W";"5034517301980";"Normal";"Nein";"Nein";"Nein";7,11;15,5;14,5;35,5;"";"";"St";1;19;"90,00";"30,60";"";"6,39";"4,000";"3,00";"29,68";"12,000";"6,00";"28,76";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"110094";"LUMii";"LUMii Black Reflektor, 10 St je Box";"5034517302659";"Normal";"Nein";"Nein";"Nein";14,21;25,5;60,5;54;"";"";"Box";1;19;"207,99";"81,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"110097";"RAM";"RAM Clipventilator, 150 mm, 15 W";"5034517802203";"Normal";"Nein";"Nein";"Nein";0,88;19,5;20;14,5;"";"";"St";12;19;"22,00";"9,99";"";"7,99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"110098";"RAM";"RAM Wandventilator, 400 mm, 40 W";"5034517802258";"Normal";"Nein";"Nein";"Nein";2,7;44;44;19,5;"";" 110099";"St";1;19;"50,00";"20,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 - im Zulauf";""
"110099";"RAM";"RAM Standventilator, 400 mm, 45 W";"5034517802265";"Normal";"Nein";"Nein";"Nein";4,96;48,5;55,5;13,5;"";" 110098";"St";1;19;"34,90";"15,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 - im Zulauf";""
"110103";"LUMii";"LUMii Stromkabel mit EU Schuko (CEE 7/7), 3 m";"5034517302468";"Normal";"Nein";"Nein";"Nein";0,3;30;15,5;3;"";"";"St";1;19;"5,80";"2,69";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
